count,date,title,description,org_link,link
67,2024-02-14 16:44:00,"산업단지 수요, 각종 개발호재…천안역 경남아너스빌 어반하이츠 관심","이미 천안시는 산업단지와 풍부한 <b>일자리</b> 덕분에 인구수가 지난해말 기준 65만5,959명으로 10년 전(2013년 59만1,089명) 보다 6만4,870명이 증가했다. 비수도권 도시들 상당수가 인구 <b>감소</b>를 걱정하고 있지만 천안시 인구는... ",http://www.sentv.co.kr/news/view/679487,http://www.sentv.co.kr/news/view/679487
68,2024-02-14 16:38:00,국힘 박성호 김해갑 예비후보 &quot;고부가 가치 4대 미래 전략산업 육성&quot;,"인구<b>감소</b>, 청년 인구 유출 등이 지속되고 있다&quot;며 이 같은 문제를 해결하고 지속 가능한 김해를 위해 공약을... 세 번째로 김해 5곳의 도시재생센터에 청년창업 및 <b>일자리</b> 센터 조성, 김해 스타트업 포럼 지원 확대... ",https://www.gukjenews.com/news/articleView.html?idxno=2921537,https://www.gukjenews.com/news/articleView.html?idxno=2921537
69,2024-02-14 16:35:00,국힘 박성호 예비후보 &quot;청년 연령 39→45세 상향 조정&quot;,"그는 &quot;김해시는 인구수 전국 15위, 중소기업 8000개 등 대도시로 성장해 왔으나, 몇 년 전부터 인구<b>감소</b>, 청년... 청년 <b>일자리</b> 관련해 그는 &quot;김해 5곳의 도시재생센터에 청년창업 및 <b>일자리</b> 센터 조성, 김해 스타트업 포럼... ",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003002123&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002422183?sid=100
70,2024-02-14 16:34:00,"영암군, '인구 희망 8대 프로젝트' 적극 행정 실천",구체적으로 영암군은 주민의 정주 여건을 개선하고 지역 연계형 <b>일자리</b>를 창출해 정주인구 6만명을 회복하고... 고령화와 인구<b>감소</b>의 여파로 영암읍의 지난 2023년 12월 현재 인구는 7815명이다. 여기에 상권마저 침체돼... ,https://www.smartfn.co.kr/article/view/sfn202402140048,https://www.smartfn.co.kr/article/view/sfn202402140048
71,2024-02-14 16:34:00,"익산시, 명품 교육도시 명성 되찾는다","인구 <b>감소</b> 문제에 대응하기 위해 마련된 것으로, 시는 올해 웅포초등학교로 전학을 오는 수도권 유학생 4명과... 관련 <b>일자리</b> 및 정주 여건을 제공해 교육·취업·정주의 선순환 구조를 만들어 나가는 방식으로 추진된다.... ",https://www.jjan.kr/article/20240214580106,https://www.jjan.kr/article/20240214580106
72,2024-02-14 16:33:00,중국도 저출생·고령화 속 '노인 돌봄'이 문제…&quot;간병인 부족&quot;,나은 <b>일자리</b>를 선호한다&quot;고 말했다. 산둥성에서 6개의 노인 돌봄 시설을 관리하는 옌구이전 씨는 SCMP에... 중국은 2022년과 2023년 2년 연속 신생아 수가 1천만명을 밑돌면서 전체 인구도 내리 <b>감소</b>했다. 작년 말 기준... ,https://www.yna.co.kr/view/AKR20240214129900074?input=1195m,https://n.news.naver.com/mnews/article/001/0014505294?sid=104
73,2024-02-14 16:33:00,"전남도, 올해 노인복지 예산 1조6000억 편성","노인<b>일자리</b>는 7000명이 늘어난 6만4000명으로, 참여자 활동비도 공익활동형 월 2만원, 사회서비스형 월... 김영록 전남도지사는 “세수 <b>감소</b>로 많은 어려움이 있었지만 어르신 복지를 위해 올해 예산 1000억원을... ",https://sports.donga.com/article/all/20240214/123517755/1,https://n.news.naver.com/mnews/article/382/0001106472?sid=102
74,2024-02-14 16:33:00,[청론직설] “나눠먹기 정치로는 성장·발전 못해…‘달빛철도’ 등 나쁜 입법...,"인구가 <b>감소</b>한다는 것은 일할 사람이 줄어드는 문제도 있지만 수요가 줄어든다는 것을 의미한다. 인구가... △<b>일자리</b> 창출보다는 이미 <b>일자리</b>를, 그것도 가장 좋은 <b>일자리</b>를 차지하고 있는 ‘노조를 가진 노동자’들을... ",https://www.sedaily.com/NewsView/2D5CVB73R2,https://n.news.naver.com/mnews/article/011/0004299554?sid=110
75,2024-02-14 16:24:00,"영암군, '인구 희망 8대 프로젝트' 7000억 투입",구체적으로 영암군은 주민의 정주 여건을 개선하고 지역 연계형 <b>일자리</b>를 창출해 정주인구 6만명을 회복하고... 고령화와 인구<b>감소</b>의 여파로 영암읍의 지난 2023년 12월 현재 인구는 7815명이다. 여기에 상권마저 침체돼... ,http://www.seoulfn.com/news/articleView.html?idxno=510479,http://www.seoulfn.com/news/articleView.html?idxno=510479
76,2024-02-14 16:22:00,울산 노동인구 <b>감소</b> 대비 중장년 대상 재교육·취업지원 강화 절실,"울산지역 노동인구가 저출산 등으로 <b>감소</b>할 것으로 전망되고 있는 가운데 노동인구 부족과 경제 활성화를... 14일 발표한 보고서는 울산중장년<b>일자리</b>지원센터와 공동조사 방식으로 협업해, 남녀 각각 130명씩 모두... ",https://www.iusm.co.kr/news/articleView.html?idxno=1034302,https://www.iusm.co.kr/news/articleView.html?idxno=1034302
77,2024-02-14 16:18:00,경남기후위기비상행동 &quot;총선 후보들 기후공약 마련하라&quot;,"또한, 관련 <b>일자리</b>가 40％까지 <b>감소</b>하고, 발전소 인근 지역의 소득수준이 90％ 하락할 것으로 예상되지만, 에너지 전환을 위한 대책이 없습니다. 경남기후위기비상행동은 &quot;이러한 상황을 고민하는 후보가 없다&quot;며 &quot;&quot;총선... ",https://news.bbsi.co.kr/news/articleView.html?idxno=3144299,https://news.bbsi.co.kr/news/articleView.html?idxno=3144299
